twitt,emocion,porcentaje,figura,fecha
@aguadiana Don canguro,others,0.8965842127799988,aguadiana,2023-04-06 00:07:58+00:00
@aguadiana El cambio https://t.co/qX6OreFnCW,others,0.9267788529396057,aguadiana,2023-04-05 02:37:10+00:00
@aguadiana El cambio https://t.co/mNXSDlGinx,others,0.9260792136192322,aguadiana,2023-04-04 22:56:15+00:00
@aguadiana Para cuando te estas alineando con @RicardoMeb ? Porque no te va a quedar de otra..... jajaja,others,0.8151537775993347,aguadiana,2023-04-04 21:29:52+00:00
@aguadiana gordito cochino te usaron. el deal tu entregas el estado (nunca ibas a ganar) la peor ficha y apoyo pagaste con carbon lo que mario no gasto y toman edomex. tu no pintas sigue contaminando con carbón no te van a decir nada,anger,0.7201527953147888,aguadiana,2023-04-04 06:50:46+00:00
@aguadiana Recorre mercados por que ahí no batalla con la gente a otros lados no van.,others,0.8416390419006348,aguadiana,2023-04-04 02:57:58+00:00
@aguadiana Vas a perder buey 🐂 por corrupto y OGT,others,0.3432953357696533,aguadiana,2023-04-04 02:47:09+00:00
@aguadiana Edo. De Mx. Para la maestra; Coahuila de Zaragoza para Manolo.,others,0.9222613573074341,aguadiana,2023-04-04 02:37:22+00:00
"@aguadiana Y ¿qué crees que nos diga a los Coahuilenses esta imagen?
Por el bien de todos #DeclinaGuadaña https://t.co/A6To7rbQeP",others,0.8922673463821411,aguadiana,2023-04-04 02:25:46+00:00
"@MartnJosRodrgu4 @aguadiana No lo han alineado desde el 2018, ¿crees que lo van alinear ahorita? Chango viejo no aprende maroma nueva, el cacique jamás voto alguna iniciativa del Presidente siendo Senador, imagine lo que haria como Gobernador, por eso a este ANTIAMLO no lo apoyamos https://t.co/YXP4rTG7Ci",others,0.6580623388290405,MartnJosRodrgu4,2023-04-05 20:37:59+00:00
"@coahuilensepol @aguadiana Que bueno que sacas el vídeo, pero hay que leer bien, se tiene que alinear con Morena, sino la voladora "" y todo aquel que llegue",others,0.849337637424469,coahuilensepol,2023-04-05 20:18:52+00:00
@MartnJosRodrgu4 @aguadiana Que buen candidato para alinear a la oposición 🙄 https://t.co/wrY7varhSC,others,0.8975704312324524,MartnJosRodrgu4,2023-04-05 19:46:57+00:00
@MartnJosRodrgu4 @aguadiana En dicha entrevista mencionó que seguirá con la buena política de Riquelme 🤣🤣🤣 que bonito candidato tiene el PRI vestido de MORENA https://t.co/JUXGaqoir8,joy,0.624789834022522,MartnJosRodrgu4,2023-04-05 19:46:09+00:00
"@MartnJosRodrgu4 @aguadiana Lo único que reconozco es que Guadiana es mas del mismo PRI de siempre, el PT no va tan abajo en las encuestas.
Mario Delgado vendió Coah como muchos otros edos. Guadiana no representa los principios de MORENA, mejor que arregle sus múltiples investigaciones antes de pedir votos",others,0.6721161603927612,MartnJosRodrgu4,2023-04-05 19:36:33+00:00
"@coahuilensepol @aguadiana Bueno primeramente estás reconociendo que la mafia del prian son corruptos y asesinos, el pt se me hace buena opción pero vienen muy abajo en las encuestas y por otro lado el Sr Armando de los princip  de morena algo debe tener y además alinear, pero corrup y asesinos prian no",anger,0.7408230304718018,coahuilensepol,2023-04-05 19:28:31+00:00
@aguadiana Eso #DonCorru acérquese a la gente!!!!,others,0.6669893264770508,aguadiana,2023-04-04 14:38:32+00:00
@aguadiana Cuanta hipócresía.,anger,0.6477490663528442,aguadiana,2023-04-04 08:01:43+00:00
@aguadiana ¿Por eso te juntas con tantas panistas? https://t.co/jjltsdcVIb,others,0.890999436378479,aguadiana,2023-04-04 06:31:00+00:00
"@aguadiana Buenas noches Sr Armando, hay que seguir con los programas sociales de la 4t, ni un voto para esos ladrones, corruptos y asesinos del prian, ojalá y no los suelten, ánimo, adelante con la 4 t",anger,0.6478997468948364,aguadiana,2023-04-04 03:02:08+00:00
"@MartnJosRodrgu4 @aguadiana Para ser coherentes obviamente incluimos a Guadaña, ¿verdad? https://t.co/XwGznNNw5j",others,0.9179824590682983,MartnJosRodrgu4,2023-04-04 03:01:01+00:00
"@coahuilensepol @aguadiana Igual han sufrido las mujeres durante los sexenios de la bola de corruptos y narcos del prian, ni un voto más para esos asesinos y corruptos del prian",anger,0.6462142467498779,coahuilensepol,2023-04-04 02:59:35+00:00
"@aguadiana También las mujeres (madres, esposas, hijas) son las que lloran a sus muertos en las minas por la nula seguridad que les proporcionas, por lo bien que los explotas a cambio de prestaciones miserables, como tú #DeclinaGuadaña",sadness,0.9324813485145569,aguadiana,2023-04-04 02:17:55+00:00
@aguadiana Cual es su proyecto? ¿Qué propuestas de trabajo tiene?,others,0.9161866903305054,aguadiana,2023-04-04 02:11:27+00:00
@aguadiana Nunca habían ido y ahora muy fregones,anger,0.5133241415023804,aguadiana,2023-04-05 00:15:26+00:00
@aguadiana Con el PT !!!,others,0.7287089228630066,aguadiana,2023-04-04 17:08:07+00:00
"@aguadiana Y este taquero?? Que?? 

Se le olvidó la barbacoa",anger,0.4567348062992096,aguadiana,2023-04-04 16:11:01+00:00
@aguadiana Solo te falta la cola de ratón!!,others,0.7662385702133179,aguadiana,2023-04-04 15:54:16+00:00
@TERESAG06520836 @aguadiana @LaTiaVinagres Ya somos dos!!,others,0.7847633957862854,TERESAG06520836,2023-04-04 15:29:49+00:00
@aguadiana Lo veo y me quiero vomitar!!,others,0.23104897141456604,aguadiana,2023-04-04 15:29:26+00:00
@aguadiana Ya cállate corruptazo.,anger,0.7570145130157471,aguadiana,2023-04-04 06:13:32+00:00
"@aguadiana Bigotes, no soy mal hora; pero no vas a dar el kilo.",others,0.70583575963974,aguadiana,2023-04-04 04:03:08+00:00
"@aguadiana Aguas , no se les vaya a desmayar.
..agarrenlo bien!",anger,0.47187894582748413,aguadiana,2023-04-05 20:26:29+00:00
@aguadiana Vaya apoyos https://t.co/FAHAVPQdpI,others,0.88462233543396,aguadiana,2023-04-04 22:48:53+00:00
@Miriam_Junne @aguadiana Pragmatismo le dicen ahora al chapulíneo,others,0.9193142056465149,Miriam_Junne,2023-04-04 21:14:56+00:00
@Miriam_Junne @aguadiana Vergonzoso 🤦🏻‍♂️,anger,0.7427479028701782,Miriam_Junne,2023-04-04 19:08:28+00:00
"@aguadiana Jajajajaja no mamn jajajajajajaja, a poco les dijiste que les vas a meter la pinga 🤣🤣🤣",anger,0.3915623128414154,aguadiana,2023-04-04 18:43:51+00:00
"@aguadiana Si gana morena,.es por zoquetes la sociedad, se les dice que no se equivoquen, morena es sinónimo de corrupción, muertes, ignorancia, entre otras",others,0.4753026068210602,aguadiana,2023-04-04 18:33:50+00:00
@aguadiana Les queda grande la transformación!! Son unos enanos enfermos de poder!!,anger,0.3374764621257782,aguadiana,2023-04-04 17:32:21+00:00
"@aguadiana Y a las que no voten por tí
¿Les meterás la Pinga?

Ningún coahuilense que tenga memoria tendría que votar por tí, representas lo más corrupto del PRI https://t.co/NnwnYJuXZW",anger,0.7060176730155945,aguadiana,2023-04-04 16:11:25+00:00
